ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais.
Reune - Quadro de Informações Prévias - 23/06/2020
Prévia (Acumulado) - Abrangência : Até 20:01:15
CETIP;;ISIN;Tipo;Agrupamento;Taxa Mínima;Taxa Média;Taxa Máxima;Preço Mínimo;Preço Médio;Preço Máximo;Faixa de Volume
13G0249947;;BRRBRACRI200;CRI;TOTAL;--;--;--;821,847100;821,847100;821,847100;Até 1MM
13G0249947;;BRRBRACRI200;CRI;SUBTOTAL;--;--;--;821,847100;821,847100;821,847100;Até 1MM
14C0067892;;BRRBRACRI2F8;CRI;TOTAL;--;--;--;1.079,679052;130.232,879526;259.386,080000;Até 1MM
14C0067892;;BRRBRACRI2F8;CRI;SUBTOTAL;--;--;--;1.079,679052;130.232,879526;259.386,080000;Até 1MM
15C0088187;;BRHBSCCRI148;CRI;TOTAL;--;--;--;31.096,784718;31.096,784718;31.096,784718;Até 1MM
15C0088187;;BRHBSCCRI148;CRI;SUBTOTAL;--;--;--;31.096,784718;31.096,784718;31.096,784718;Até 1MM
15J0170872;;BRSCCICRI0K9;CRI;TOTAL;--;--;--;3.710,847265;3.710,847265;3.710,847265;Até 1MM
15J0170872;;BRSCCICRI0K9;CRI;SUBTOTAL;--;--;--;3.710,847265;3.710,847265;3.710,847265;Até 1MM
16C0765992;;BRSCCICRI0N3;CRI;TOTAL;--;--;--;174.086,847499;174.663,770576;175.240,693653;Entre 1MM e 5MM
16C0765992;;BRSCCICRI0N3;CRI;SUBTOTAL;--;--;--;174.086,847499;174.663,770576;175.240,693653;Entre 1MM e 5MM
16F0071780;;BRAPCSCRI218;CRI;TOTAL;--;--;--;498,120798;498,436518;500,073695;Entre 1MM e 5MM
16F0071780;;BRAPCSCRI218;CRI;SUBTOTAL;--;--;--;498,120798;498,436518;500,073695;Entre 1MM e 5MM
16G0000001;;BRRBRACRI3O8;CRI;TOTAL;--;--;--;960,918044;960,918044;960,918044;Até 1MM
16G0000001;;BRRBRACRI3O8;CRI;SUBTOTAL;--;--;--;960,918044;960,918044;960,918044;Até 1MM
16I0965158;;BRRBRACRI3Q3;CRI;TOTAL;--;--;--;979,261391;979,261391;979,261391;Até 1MM
16I0965158;;BRRBRACRI3Q3;CRI;SUBTOTAL;--;--;--;--;--;--;--
16L0074884;;BRCBSCCRI3T1;CRI;TOTAL;--;--;--;963,508854;966,406115;969,303375;Até 1MM
16L0074884;;BRCBSCCRI3T1;CRI;SUBTOTAL;--;--;--;963,508854;966,406115;969,303375;Até 1MM
17C0000201;;BRRBRACRI465;CRI;TOTAL;--;--;--;976,741645;976,741645;976,741645;Até 1MM
17C0000201;;BRRBRACRI465;CRI;SUBTOTAL;--;--;--;976,741645;976,741645;976,741645;Até 1MM
17H0894273;;BRAPCSCRI2V5;CRI;TOTAL;--;--;--;1.038,813464;1.050,618804;1.093,733960;Até 1MM
17H0894273;;BRAPCSCRI2V5;CRI;SUBTOTAL;--;--;--;1.038,813464;1.050,618804;1.093,733960;Até 1MM
17I0000201;;BRRBRACRI4D9;CRI;TOTAL;--;--;--;936,566677;942,867842;950,764293;Entre 1MM e 5MM
17I0000201;;BRRBRACRI4D9;CRI;SUBTOTAL;--;--;--;936,566677;941,864753;950,764293;Entre 1MM e 5MM
17I0905011;;BRAPCSCRI2R3;CRI;TOTAL;--;--;--;1.184,485108;1.184,485108;1.184,485108;Até 1MM
17I0905011;;BRAPCSCRI2R3;CRI;SUBTOTAL;--;--;--;1.184,485108;1.184,485108;1.184,485108;Até 1MM
17J0000001;;BRRBRACRI4F4;CRI;TOTAL;--;--;--;963,898735;963,898735;963,898735;Até 1MM
17J0000001;;BRRBRACRI4F4;CRI;SUBTOTAL;--;--;--;963,898735;963,898735;963,898735;Até 1MM
17J0040025;;BRAPCSCRI2Z6;CRI;TOTAL;--;--;--;667,054607;667,054607;667,054607;Até 1MM
17J0040025;;BRAPCSCRI2Z6;CRI;SUBTOTAL;--;--;--;667,054607;667,054607;667,054607;Até 1MM
18C0682649;;BRRBRACRI4T5;CRI;TOTAL;--;--;--;953,566528;953,566528;953,566528;Até 1MM
18C0682649;;BRRBRACRI4T5;CRI;SUBTOTAL;--;--;--;953,566528;953,566528;953,566528;Até 1MM
18C0796890;;--;CRI;TOTAL;--;--;--;959,811045;959,811045;959,811045;Até 1MM
18C0796890;;--;CRI;SUBTOTAL;--;--;--;959,811045;959,811045;959,811045;Até 1MM
18E0907339;;BRBZRSCRI098;CRI;TOTAL;--;--;--;653,286054;654,801765;655,599508;Até 1MM
18E0907339;;BRBZRSCRI098;CRI;SUBTOTAL;--;--;--;653,286054;654,801765;655,599508;Até 1MM
18F0744615;;--;CRI;TOTAL;--;--;--;949,043264;953,592092;953,652987;Entre 1MM e 5MM
18F0744615;;--;CRI;SUBTOTAL;--;--;--;949,043264;953,622337;953,652987;Entre 1MM e 5MM
18G0687521;;BRRBRACRI4Y5;CRI;TOTAL;--;--;--;1.173,832030;1.183,652288;1.226,999433;Até 1MM
18G0687521;;BRRBRACRI4Y5;CRI;SUBTOTAL;--;--;--;1.173,832030;1.189,618179;1.226,999433;Até 1MM
