ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais.
Reune - Quadro de Informações Prévias - 23/06/2020
Prévia (Acumulado) - Abrangência : Até 20:01:15
CETIP;;ISIN;Tipo;Agrupamento;Taxa Mínima;Taxa Média;Taxa Máxima;Preço Mínimo;Preço Médio;Preço Máximo;Faixa de Volume
18H0014828;;BRAPCSCRI3D1;CRI;TOTAL;--;--;--;931,528618;931,528618;931,528618;Até 1MM
18H0014828;;BRAPCSCRI3D1;CRI;SUBTOTAL;--;--;--;931,528618;931,528618;931,528618;Até 1MM
18H0863006;;BRRBRACRI531;CRI;TOTAL;--;--;--;1.043,815976;1.044,565976;1.045,315976;Até 1MM
18H0863006;;BRRBRACRI531;CRI;SUBTOTAL;--;--;--;1.043,815976;1.044,565976;1.045,315976;Até 1MM
18J0673053;;--;CRI;TOTAL;--;--;--;384,325236;384,385236;384,445236;Até 1MM
18J0673053;;--;CRI;SUBTOTAL;--;--;--;384,325236;384,385236;384,445236;Até 1MM
18K0000201;;BRAPCSCRI4C1;CRI;TOTAL;--;--;--;943,977471;947,295238;952,133647;Até 1MM
18K0000201;;BRAPCSCRI4C1;CRI;SUBTOTAL;--;--;--;943,977471;947,295238;952,133647;Até 1MM
18L0541633;;BRAPCSCRI4N8;CRI;TOTAL;--;--;--;1.032,091574;1.032,091574;1.032,091574;Até 1MM
18L0541633;;BRAPCSCRI4N8;CRI;SUBTOTAL;--;--;--;1.032,091574;1.032,091574;1.032,091574;Até 1MM
18L1085825;;--;CRI;TOTAL;--;--;--;944,534549;951,093457;959,974272;Até 1MM
18L1085825;;--;CRI;SUBTOTAL;--;--;--;944,534549;951,093457;959,974272;Até 1MM
18L1085826;;BRRBRACRI549;CRI;TOTAL;--;--;--;1.146,499643;1.146,499643;1.146,499643;Até 1MM
18L1085826;;BRRBRACRI549;CRI;SUBTOTAL;--;--;--;1.146,499643;1.146,499643;1.146,499643;Até 1MM
19A1282808;;--;CRI;TOTAL;--;--;--;792,687024;792,687024;792,687024;Entre 1MM e 5MM
19A1282808;;--;CRI;SUBTOTAL;--;--;--;792,687024;792,687024;792,687024;Entre 1MM e 5MM
19E0171753;;BRIMWLCRI161;CRI;TOTAL;--;--;--;953,575535;955,455535;955,575535;Até 1MM
19E0171753;;BRIMWLCRI161;CRI;SUBTOTAL;--;--;--;953,575535;955,455535;955,575535;Até 1MM
19F0260732;;BROSECCRI0F9;CRI;TOTAL;--;--;--;925,278860;925,578860;925,878860;Até 1MM
19F0260732;;BROSECCRI0F9;CRI;SUBTOTAL;--;--;--;925,278860;925,578860;925,878860;Até 1MM
19G0835181;;BRAPCSCRI5L9;CRI;TOTAL;--;--;--;958,510200;971,430475;971,572456;Entre 1MM e 5MM
19G0835181;;BRAPCSCRI5L9;CRI;SUBTOTAL;--;--;--;958,510200;971,291547;971,572456;Entre 1MM e 5MM
19H0000001;;--;CRI;TOTAL;--;--;--;939,492333;939,492333;939,492333;Até 1MM
19H0000001;;--;CRI;SUBTOTAL;--;--;--;939,492333;939,492333;939,492333;Até 1MM
19H0262186;;BRRBRACRI5T2;CRI;TOTAL;--;--;--;938,402022;938,402022;938,402022;Até 1MM
19H0262186;;BRRBRACRI5T2;CRI;SUBTOTAL;--;--;--;938,402022;938,402022;938,402022;Até 1MM
19I0739707;;--;CRI;TOTAL;--;--;--;948,125094;948,125094;948,125094;Até 1MM
19I0739707;;--;CRI;SUBTOTAL;--;--;--;948,125094;948,125094;948,125094;Até 1MM
19K1136971;;--;CRI;TOTAL;--;--;--;1.039,649235;1.039,649235;1.039,649235;Até 1MM
19K1136971;;--;CRI;SUBTOTAL;--;--;--;1.039,649235;1.039,649235;1.039,649235;Até 1MM
19K1145372;;--;CRI;TOTAL;--;--;--;921,480000;947,074767;1.018,684560;Até 1MM
19K1145372;;--;CRI;SUBTOTAL;--;--;--;921,480000;936,759369;1.017,975750;Até 1MM
19L0816266;;--;CRI;TOTAL;--;--;--;1.018,024314;1.018,332927;1.018,569769;Até 1MM
19L0816266;;--;CRI;SUBTOTAL;--;--;--;1.018,024314;1.018,332927;1.018,569769;Até 1MM
19L0906036;;--;CRI;TOTAL;--;--;--;809,700214;809,821706;809,943197;Até 1MM
19L0906036;;--;CRI;SUBTOTAL;--;--;--;809,700214;809,821706;809,943197;Até 1MM
20A1034935;;--;CRI;TOTAL;--;--;--;1.051,288296;1.071,593274;1.092,174704;Até 1MM
20A1034935;;--;CRI;SUBTOTAL;--;--;--;1.051,288296;1.071,593274;1.092,174704;Até 1MM
20B0980166;;--;CRI;TOTAL;--;--;--;974,245704;974,245704;974,245704;Até 1MM
20B0980166;;--;CRI;SUBTOTAL;--;--;--;974,245704;974,245704;974,245704;Até 1MM
20C0818565;;--;CRI;TOTAL;--;--;--;1.002,085463;1.002,243358;1.002,401253;Até 1MM
20C0818565;;--;CRI;SUBTOTAL;--;--;--;1.002,085463;1.002,243358;1.002,401253;Até 1MM
20E0031084;;--;CRI;TOTAL;--;--;--;1.026,830760;1.035,004223;1.057,708288;Até 1MM
20E0031084;;--;CRI;SUBTOTAL;--;--;--;1.026,830760;1.035,004223;1.057,708288;Até 1MM
